ENLIGHTEN Version,4.1.6
Measurement ID,,,20250528-100245-792093-WP-02208,20250528-100407-709362-WP-02208,20250528-100442-099370-WP-02208
320,882.17,1403.49,1442.00,2500.00,2443.00
321,882.45,1406.99,1425.00,2494.00,2454.00
322,882.72,1410.50,1433.00,2513.00,2433.00
323,882.99,1414.00,1433.00,2553.00,2460.00
324,883.27,1417.51,1440.00,2545.00,2467.00
325,883.54,1421.01,1454.00,2557.00,2466.00
326,883.81,1424.50,1450.00,2559.00,2464.00
327,884.09,1428.00,1446.00,2557.00,2458.00
328,884.36,1431.49,1435.00,2557.00,2486.00
329,884.63,1434.98,1439.00,2562.00,2483.00
330,884.91,1438.47,1440.00,2545.00,2464.00
331,885.18,1441.95,1446.00,2538.00,2469.00
332,885.45,1445.43,1425.00,2532.00,2452.00
333,885.72,1448.92,1439.00,2553.00,2431.00
334,886.00,1452.39,1448.00,2526.00,2456.00
335,886.27,1455.87,1425.00,2526.00,2447.00
336,886.54,1459.34,1425.00,2540.00,2433.00
337,886.82,1462.81,1433.00,2536.00,2448.00
338,887.09,1466.28,1437.00,2528.00,2443.00
339,887.36,1469.75,1433.00,2566.00,2456.00
340,887.63,1473.21,1454.00,2570.00,2471.00
341,887.91,1476.67,1450.00,2566.00,2477.00
342,888.18,1480.13,1448.00,2612.00,2504.00
343,888.45,1483.59,1440.00,2593.00,2488.00
344,888.73,1487.04,1446.00,2574.00,2513.00
345,889.00,1490.49,1444.00,2578.00,2486.00
346,889.27,1493.94,1458.00,2600.00,2505.00
347,889.54,1497.39,1442.00,2583.00,2498.00
348,889.82,1500.83,1450.00,2570.00,2505.00
349,890.09,1504.28,1437.00,2574.00,2502.00
350,890.36,1507.72,1425.00,2560.00,2502.00
351,890.63,1511.15,1433.00,2574.00,2475.00
352,890.91,1514.59,1439.00,2574.00,2477.00
353,891.18,1518.02,1431.00,2545.00,2466.00
354,891.45,1521.45,1454.00,2578.00,2456.00
355,891.72,1524.88,1431.00,2559.00,2469.00
356,892.00,1528.30,1454.00,2562.00,2466.00
357,892.27,1531.73,1440.00,2570.00,2477.00
358,892.54,1535.15,1452.00,2612.00,2477.00
359,892.81,1538.57,1450.00,2595.00,2500.00
360,893.09,1541.98,1454.00,2583.00,2523.00
361,893.36,1545.39,1465.00,2598.00,2524.00
362,893.63,1548.81,1467.00,2621.00,2523.00
