ENLIGHTEN Version,4.1.6
Measurement ID,,,20250527-112520-520529-WP-02208,20250527-112709-670696-WP-02208
356,892.00,1528.31,3551.00,4378.00
357,892.27,1531.73,3557.00,4393.00
358,892.54,1535.15,3574.00,4454.00
359,892.81,1538.57,3584.00,4412.00
360,893.09,1541.99,3593.00,4414.00
361,893.36,1545.40,3616.00,4460.00
362,893.63,1548.81,3641.00,4511.00
363,893.90,1552.22,3677.00,4560.00
364,894.18,1555.63,3654.00,4554.00
365,894.45,1559.03,3643.00,4475.00
366,894.72,1562.43,3624.00,4445.00
367,894.99,1565.83,3586.00,4471.00
368,895.26,1569.23,3586.00,4406.00
369,895.54,1572.62,3584.00,4410.00
370,895.81,1576.01,3567.00,4405.00
371,896.08,1579.40,3550.00,4343.00
372,896.35,1582.79,3534.00,4343.00
373,896.62,1586.18,3570.00,4404.00
374,896.90,1589.56,3561.00,4331.00
375,897.17,1592.94,3563.00,4364.00
376,897.44,1596.32,3572.00,4389.00
377,897.71,1599.69,3574.00,4395.00
378,897.98,1603.06,3567.00,4408.00
379,898.26,1606.43,3565.00,4378.00
380,898.53,1609.80,3576.00,4422.00
381,898.80,1613.17,3565.00,4378.00
382,899.07,1616.53,3538.00,4382.00
383,899.34,1619.89,3529.00,4361.00
384,899.61,1623.25,3565.00,4319.00
385,899.89,1626.60,3542.00,4312.00
386,900.16,1629.96,3491.00,4321.00
387,900.43,1633.31,3476.00,4247.00
388,900.70,1636.66,3462.00,4224.00
389,900.97,1640.00,3436.00,4205.00
390,901.24,1643.35,3455.00,4169.00
391,901.52,1646.69,3388.00,4178.00
392,901.79,1650.03,3428.00,4198.00
393,902.06,1653.36,3420.00,4168.00
394,902.33,1656.70,3426.00,4162.00
395,902.60,1660.03,3439.00,4207.00
396,902.87,1663.36,3422.00,4169.00
397,903.14,1666.69,3447.00,4198.00
398,903.41,1670.01,3419.00,4202.00
399,903.69,1673.33,3455.00,4169.00
400,903.96,1676.65,3434.00,4171.00
401,904.23,1679.97,3419.00,4197.00
402,904.50,1683.28,3417.00,4198.00
403,904.77,1686.60,3419.00,4177.00
404,905.04,1689.91,3428.00,4187.00
405,905.31,1693.21,3379.00,4173.00
406,905.58,1696.52,3365.00,4096.00
407,905.85,1699.82,3364.00,4131.00
408,906.13,1703.12,3373.00,4080.00
409,906.40,1706.42,3341.00,4029.00
410,906.67,1709.72,3333.00,4012.00
411,906.94,1713.01,3345.00,4023.00
412,907.21,1716.30,3326.00,4033.00
413,907.48,1719.59,3310.00,3996.00
414,907.75,1722.87,3339.00,4039.00
415,908.02,1726.16,3346.00,4034.00
416,908.29,1729.44,3314.00,4059.00
417,908.56,1732.72,3343.00,4008.00
418,908.83,1735.99,3345.00,4052.00
419,909.10,1739.27,3352.00,4042.00
420,909.37,1742.54,3335.00,4017.00
421,909.64,1745.81,3345.00,4032.00
422,909.91,1749.08,3310.00,3974.00
423,910.18,1752.34,3346.00,4013.00
424,910.46,1755.60,3333.00,4002.00
425,910.73,1758.86,3291.00,3998.00
426,911.00,1762.12,3318.00,3989.00
427,911.27,1765.37,3310.00,3943.00
428,911.54,1768.63,3255.00,3912.00
429,911.81,1771.88,3274.00,3899.00
