ENLIGHTEN Version,4.1.6
Measurement ID,,,20250529-091533-473472-WP-02208,20250529-091709-177739-WP-02208
168,840.61,843.06,1221.00,1426.00
169,840.89,846.92,1242.00,1388.00
170,841.16,850.77,1204.00,1369.00
171,841.43,854.63,1215.00,1365.00
172,841.71,858.48,1202.00,1350.00
173,841.98,862.33,1164.00,1358.00
174,842.25,866.17,1185.00,1350.00
175,842.52,870.02,1202.00,1345.00
176,842.80,873.86,1196.00,1355.00
177,843.07,877.70,1200.00,1359.00
178,843.34,881.54,1193.00,1350.00
179,843.62,885.38,1193.00,1327.00
180,843.89,889.21,1195.00,1343.00
181,844.16,893.04,1196.00,1348.00
182,844.43,896.87,1181.00,1352.00
183,844.71,900.70,1168.00,1348.00
184,844.98,904.52,1171.00,1319.00
185,845.25,908.35,1160.00,1319.00
186,845.53,912.17,1185.00,1350.00
187,845.80,915.99,1187.00,1331.00
188,846.07,919.80,1162.00,1325.00
189,846.35,923.62,1191.00,1341.00
190,846.62,927.43,1155.00,1326.00
191,846.89,931.24,1189.00,1352.00
192,847.16,935.04,1175.00,1327.00
193,847.44,938.85,1166.00,1340.00
194,847.71,942.65,1190.00,1346.00
195,847.98,946.45,1194.00,1346.00
196,848.26,950.25,1192.00,1354.00
197,848.53,954.05,1168.00,1336.00
198,848.80,957.84,1174.00,1331.00
199,849.08,961.63,1166.00,1327.00
200,849.35,965.42,1171.00,1336.00
201,849.62,969.21,1153.00,1329.00
202,849.90,972.99,1171.00,1346.00
203,850.17,976.78,1162.00,1333.00
204,850.44,980.56,1177.00,1340.00
205,850.72,984.34,1183.00,1363.00
206,850.99,988.11,1156.00,1344.00
207,851.26,991.89,1183.00,1344.00
208,851.54,995.66,1177.00,1352.00
209,851.81,999.43,1171.00,1361.00
210,852.08,1003.19,1162.00,1359.00
211,852.36,1006.96,1192.00,1348.00
212,852.63,1010.72,1189.00,1342.00
213,852.90,1014.48,1200.00,1371.00
214,853.18,1018.24,1175.00,1344.00
215,853.45,1022.00,1191.00,1377.00
216,853.73,1025.75,1176.00,1358.00
217,854.00,1029.50,1198.00,1365.00
218,854.27,1033.25,1191.00,1373.00
219,854.55,1037.00,1198.00,1367.00
220,854.82,1040.74,1211.00,1374.00
221,855.09,1044.48,1198.00,1386.00
222,855.37,1048.22,1208.00,1396.00
223,855.64,1051.96,1202.00,1403.00
224,855.91,1055.69,1232.00,1420.00
225,856.19,1059.43,1223.00,1415.00
226,856.46,1063.16,1201.00,1386.00
227,856.73,1066.89,1263.00,1394.00
228,857.01,1070.61,1246.00,1415.00
229,857.28,1074.34,1234.00,1386.00
230,857.55,1078.06,1213.00,1407.00
231,857.83,1081.78,1242.00,1388.00
232,858.10,1085.49,1217.00,1380.00
233,858.38,1089.21,1223.00,1381.00
234,858.65,1092.92,1194.00,1388.00
235,858.92,1096.63,1200.00,1363.00
236,859.20,1100.34,1187.00,1371.00
237,859.47,1104.05,1202.00,1388.00
